Smiles,ID
COc(ccc(C(Oc(cc(cc1O)O)c1C1=O)=C1O)c1)c1O,Amb18511624
Oc(cc1O)cc(OC(c(cccc2)c2O)=C2O)c1C2=O,Amb18511625
COc(cc1O)cc(OC(c(cc2)ccc2O)=C2)c1C2=O,Amb18511628
Cc1cc(O)cc(OC(c2ccccc2)=C2)c1C2=O,Amb18511629
Oc1ccc(C(C2)Oc(cc(cc3)O)c3C2=O)cc1,Amb4477658
Oc1cc(OC(CC2=O)c3ccccc3)c2c(O)c1,Amb4005381
Oc(cc1)cc(OC(c(cc2)cc(O)c2O)=C2O)c1C2=O,Amb18511407
COc(cc(cc1)C(Oc(cc(cc2)O)c2C2=O)=C2O)c1O,Amb18511631
COc(ccc1c2OC(c3ccccc3)=CC1=O)c2OC,Amb18511634
COc1cc(C(Oc(c(OC)c2OC)c3c(O)c2OC)=CC3=O)cc(OC)c1OC,Amb18511636
Oc1c(C(C2)Oc(cccc3)c3C2=O)cccc1,Amb2716001
Oc1ccc(C(C2)Oc(cccc3)c3C2=O)cc1,Amb6356603
Oc(cc1)cc(C(C2)=O)c1OC2c1ccccc1,Amb540702
COc1ccc(C(C2)Oc(cccc3)c3C2=O)cc1,Amb6353558
COc1cccc(OC(C2)c3ccccc3)c1C2=O,Amb2760708
COc(cccc1)c1C(Oc1c2cccc1)=CC2=O,Amb18511637
COC1=C(c2ccccc2)Oc(cccc2)c2C1=O,Amb18511638
COc(cc1)cc(C2=O)c1OC(c1ccccc1)=C2O,Amb18511639
Oc(ccc(C(Oc1c2cccc1)=CC2=O)c1)c1O,Amb18511642
Oc(cc1)cc(OC(C2)c3ccccc3)c1C2=O,Amb2719634
COc1ccc(/C=C/C(c2ccccc2)=O)cc1,Amb1209245
COc(cc1)ccc1C(/C=C/c1ccccc1)=O,Amb1240520
COc(cc1O)cc(OC(c2ccccc2)=C2)c1C2=O,Amb18011138
Oc(cc1)cc(OC(c(cc2)cc(O)c2O)=C2)c1C2=O,Amb18511643
Oc(c1c2OC(c3ccccc3)=CC1=O)cc(O)c2O,Amb18511644
COc1cc(C(Oc(cc(cc2O)O)c2C2=O)=C2O)cc(OC)c1O,Amb18511651
COc(cc1)ccc1C1=COc(cc(cc2)O[C@H]([C@H]([C@@H]3O)O)O[C@@H](CO)[C@@H]3O)c2C1=O,Amb18005785
COc1cc(OC(CC2=O)c(cc3)ccc3O)c2c(O)c1,Amb6356986
COc(cc1)ccc1C1=COc(cc(cc2)O)c2C1=O,Amb18001466
Oc(cc1)ccc1C(Oc(cc(cc1)O)c1C1=O)=C1O,Amb18511659
Oc(cc1)cc(OC(c2ccccc2)=C2O)c1C2=O,Amb18511660
Oc(cc1)ccc1C(Oc1c2ccc(O)c1)=CC2=O,Amb18511661
COc1cccc(/C=C/C(c(cccc2)c2O)=O)c1OC,Amb6356615
Oc1ccc(C(C2)COc3c2ccc(O)c3)cc1,Amb17613740
COc1cc(C(Oc(c2c3OC)cc(OC)c3OC)=CC2=O)cc(OC)c1OC,Amb18511663
Oc1c(/C=C/C(c2ccccc2)=O)cccc1,Amb6355768
Oc(cccc1)c1C(/C=C/c1ccccc1)=O,Amb1394996
Oc1ccc(/C=C/C(c2ccccc2)=O)cc1,Amb1583085
Oc(cc1)ccc1C(/C=C/c1ccccc1)=O,Amb1555158
COc(cc1OC)cc(OC(c(cc2)cc(OC)c2OC)=C2)c1C2=O,Amb18511664
COc(cc1)ccc1C(Oc(c1c2OC)cc(OC)c2OC)=CC1=O,Amb18511665
Oc1ccc(/C=C/C(c(ccc(O)c2)c2O)=O)cc1,Amb4477660
Oc1cc(O)c(C(/C=C/c(cc2)cc(O)c2O)=O)c(O)c1,Amb6356955
COc(cc1OC)cc(OC(c(cc2)cc(OC)c2OC)=C2OC)c1C2=O,Amb18511669
COc(cc1)ccc1C(Oc1c2cccc1)=CC2=O,Amb18012388
COc(cc1)cc(OC(c2ccccc2)=C2)c1C2=O,Amb18511670
COc(cc1)ccc1C1=COc(cc(c(OC)c2)OC)c2C1=O,Amb18511671
COc1cc(C(Oc(cc(cc2)O)c2C2=O)=C2O)cc(OC)c1OC,Amb18511672
COc(ccc(/C=C/C(c1ccccc1)=O)c1)c1OC,Amb3429337
COc1ccc(/C=C/C(c(cc2)ccc2OC)=O)cc1,Amb3429602
COc1cc(OC(CC2=O)c3ccccc3)c2c(OC)c1,Amb6350594
COc(ccc(C(Oc1c2cccc1)=CC2=O)c1)c1OC,Amb18009823
COc(cc1)ccc1C1=COc(cc(cc2O)OC)c2C1=O,Amb18511673
COc(cc1)ccc1C1=COc(cc(cc2)OC)c2C1=O,Amb18511674
COc(c(OC(c1ccccc1)=C1)c(c(O)c2)C1=O)c2O,Amb18511675
COc(cc1O)cc(OC(c(cc2)cc(OC)c2O)=C2O)c1C2=O,Amb18511676
COc(cc1OC)cc(OC(c(cc2OC)cc(OC)c2OC)=C2)c1C2=O,Amb18511677
Oc(ccc(C(Oc1c2ccc(O)c1O)=CC2=O)c1)c1O,Amb18511678
COc(ccc(C(Oc1c2ccc(OC)c1OC)=CC2=O)c1)c1OC,Amb18511679
COc1cc(C(Oc(cc(cc2O)O)c2C2=O)=C2O)cc(OC)c1OC,Amb18511681
COc(ccc(C(Oc(c1c2OC)cc(OC)c2OC)=CC1=O)c1)c1OC,Amb18511692
CC(C)Oc(cc1)cc(OC=C2c3ccccc3)c1C2=O,Amb18511693
Cc1cc(OC)cc(OC=C2c3ccccc3)c1C2=O,Amb18511694
Oc(cc1)ccc1C(Oc(c1c2O)cc(O)c2O)=CC1=O,Amb18511696
